Date;jour de la semaine;Congé;Férié;Students_Holidays_NL;Students_Holidays_FR
31-08-24;6;Vacances d'été;;1;
27-09-24;5;Fête de la FWB;;;1
21-10-24;1;Toussaint;;;1
22-10-24;2;Toussaint;;;1
23-10-24;3;Toussaint;;;1
24-10-24;4;Toussaint;;;1
25-10-24;5;Toussaint;;;1
26-10-24;6;Toussaint;;;1
27-10-24;7;Toussaint;;;1
28-10-24;1;Toussaint;;1;1
29-10-24;2;Toussaint;;1;1
30-10-24;3;Toussaint;;1;1
31-10-24;4;Toussaint;;1;1
01-11-24;5;Toussaint;1;1;1
02-11-24;6;Toussaint;;1;1
03-11-24;7;Toussaint;;1;1
11-11-24;1;Armistice;1;1;1
23-12-24;1;Noel;;1;1
24-12-24;2;Noel;;1;1
25-12-24;3;Noel;1;1;1
26-12-24;4;Noel;;1;1
27-12-24;5;Noel;;1;1
28-12-24;6;Noel;;1;1
29-12-24;7;Noel;;1;1
30-12-24;1;Noel;;1;1
31-12-24;2;Noel;;1;1
